code,name,gender,country_long,nationality_long,birth_date
1925639,BIGINELLI Maia,Female,Italy,Italy,09/06/2003
1925640,JODOIN di MARIA Sarah,Female,Italy,Italy,03/01/2000
1925641,BERTOCCHI Elena,Female,Italy,Italy,19/09/1994
1925642,PELLACANI Chiara,Female,Italy,Italy,12/09/2002
1925643,MARSAGLIA Lorenzo,Male,Italy,Italy,16/11/1996
1925644,TOCCI Giovanni,Male,Italy,Italy,31/08/1994
1925645,LARSEN Andreas Sargent,Male,Italy,Italy,20/04/1999
1925647,BRUNI Lorenzo,Male,Italy,Italy,08/04/1994
1925649,CONDEMI Francesco,Male,Italy,Italy,23/12/2003
1925652,del LUNGO Marco,Male,Italy,Italy,01/03/1990
1925653,di FULVIO Francesco,Male,Italy,Italy,15/08/1993
1925654,di SOMMA Edoardo,Male,Italy,Italy,30/09/1996
1925656,ECHENIQUE Gonzalo,Male,Italy,Italy,27/04/1990
1925657,FONDELLI Andrea,Male,Italy,Italy,27/02/1994
1925658,GIANAZZA Tommaso,Male,Italy,Italy,21/07/2002
1925659,IOCCHI GRATTA Matteo,Male,Italy,Italy,01/09/2002
1925664,NICOSIA Gianmarco,Male,Italy,Italy,12/02/1998
1925665,PRESCIUTTI Nicholas,Male,Italy,Italy,14/12/1993
1925666,RENZUTO IODICE Vincenzo,Male,Italy,Italy,08/04/1993
1925667,VELOTTO Alessandro,Male,Italy,Italy,12/02/1995
1925668,FRANCESCHI Sara,Female,Italy,Italy,01/02/1999
1925669,ZAZZERI Lorenzo,Male,Italy,Italy,09/08/1994
1925671,CARINI Giacomo,Male,Italy,Italy,02/07/1997
1925675,CONTE BONIN Paolo,Male,Italy,Italy,09/02/2002
1925677,de TULLIO Luca,Male,Italy,Italy,21/09/2003
1925678,de TULLIO Marco,Male,Italy,Italy,21/09/2000
1925681,DEPLANO Leonardo,Male,Italy,Italy,21/07/1999
1925683,LAMBERTI Matteo,Male,Italy,Italy,24/03/1999
1925684,LAMBERTI Michele,Male,Italy,Italy,03/11/2000
1925686,MEGLI Filippo,Male,Italy,Italy,10/05/1997
1925690,RAGAINI Alessandro,Male,Italy,Italy,02/08/2006
1925691,RESTIVO Matteo,Male,Italy,Italy,04/11/1994
1925692,VIBERTI Ludovico Blu Art,Male,Italy,Italy,08/02/2002
1925693,GIOVANNINI Riccardo,Male,Italy,Italy,14/03/2003
1925700,GABBRIELLESCHI Giulia,Female,Italy,Italy,24/07/1996
1925701,CERRUTI Linda,Female,Italy,Italy,07/10/1993
1925702,ZUNINO Francesca,Female,Italy,Italy,13/02/2000
1925703,SPORTELLI Isotta,Female,Italy,Italy,02/01/2000
1925706,PICCOLI Enrica,Female,Italy,Italy,19/01/1999
1925707,PEDOTTI Susanna,Female,Italy,Italy,13/09/2004
1925711,IACOACCI Marta,Female,Italy,Italy,24/11/2000
