"medal_date","medal_type","name","gender","country_long","discipline","event","birth_date","code_athlete"
"2024-08-10","Gold ","ELGENDY Ahmed","Male","Egypt","Modern Pentathlon","Men's Individual","2000-03-01",1932649
"2024-08-02","Bronze ","MASSE Kylie","Female","Canada","Swimming","Women's 200m Backstroke","1996-01-18",1967104
"2024-08-10","Bronze ","CAMACHO-QUINN Jasmine","Female","Puerto Rico","Athletics","Women's 100m Hurdles","1996-08-21",1537183
"2024-08-08","Gold ","LUO Shifang","Female","People's Republic of China","Weightlifting","Women's 59kg","2001-04-02",1918379
"2024-08-08","Silver ","CHARRON Maude","Female","Canada","Weightlifting","Women's 59kg","1993-04-28",1965815
"2024-08-02","Silver ","ANGHEL Roxana","Female","Romania","Rowing","Women's Pair","1998-01-01",1550289
"2024-08-02","Bronze ","MORRISON Jess","Female","Australia","Rowing","Women's Pair","1992-05-18",1945670
"2024-08-02","Bronze ","McINTYRE Annabelle","Female","Australia","Rowing","Women's Pair","1996-09-12",1945644
"2024-08-03","Silver ","MURAO Sanshiro","Male","Japan","Judo","Mixed Team","2000-08-28",1896750
"2024-08-03","Silver ","NAGASE Takanori","Male","Japan","Judo","Mixed Team","1993-10-14",1896765
"2024-08-03","Silver ","SAITO Tatsuru","Male","Japan","Judo","Mixed Team","2002-03-08",1896748
"2024-08-03","Bronze ","NEDOROSCIK Stephen","Male","United States of America","Artistic Gymnastics","Men's Pommel Horse","1998-10-28",1959865
"2024-08-03","Bronze ","QUADROS Ketleyn","Female","Brazil","Judo","Mixed Team","1987-10-01",1953812
"2024-08-03","Bronze ","CARGNIN Daniel","Male","Brazil","Judo","Mixed Team","1997-12-20",1953781
"2024-08-03","Bronze ","MACEDO Rafael","Male","Brazil","Judo","Mixed Team","1994-08-15",1953832
"2024-08-03","Bronze ","SCHIMIDT Guilherme","Male","Brazil","Judo","Mixed Team","2000-11-06",1953799
"2024-08-03","Bronze ","GONCALVES Leonardo","Male","Brazil","Judo","Mixed Team","1996-03-01",1953816
"2024-08-05","Gold ","CHEBET Beatrice","Female","Kenya","Athletics","Women's 5000m","2000-03-05",1910560
"2024-07-27","Silver ","NACUQU Waisea","Male","Fiji","Rugby Sevens","Men","1993-05-24",1913334
"2024-08-02","Bronze ","YUSUPOV Alisher","Male","Uzbekistan","Judo","Men +100 kg","1998-11-27",1566931
"2024-08-01","Bronze ","LI Bingjie","Female","People's Republic of China","Swimming","Women's 4 x 200m Freestyle Relay","2002-03-03",1945169
"2024-07-30","Silver ","ANDREOLI Angela","Female","Italy","Artistic Gymnastics","Women's Team","2006-06-06",1560761
"2024-07-30","Silver ","DIKEC Yusuf","Male","Türkiye","Shooting","10m Air Pistol Mixed Team","1973-01-01",1564893
"2024-07-31","Bronze ","BISKUP Mateusz","Male","Poland","Rowing","Men's Quadruple Sculls","1994-02-08",1928520
"2024-07-31","Bronze ","ZIETARSKI Miroslaw","Male","Poland","Rowing","Men's Quadruple Sculls","1993-03-09",1928551
"2024-08-03","Bronze ","SILVA Rafaela","Female","Brazil","Judo","Mixed Team","1992-04-24",1953835
"2024-08-03","Bronze ","SOUZA Beatriz","Female","Brazil","Judo","Mixed Team","1998-05-20",1953777
"2024-08-05","Silver ","RAMBAUT Jules","Male","France","3x3 Basketball","Men","1998-04-06",1568608
"2024-08-05","Bronze ","VINGELIS Sarunas","Male","Lithuania","3x3 Basketball","Men","1989-11-16",1943515
"2024-08-05","Gold ","BRUNCKHORST Svenja","Female","Germany","3x3 Basketball","Women","1991-10-19",1898807
"2024-08-09","Gold ","GOMEZ Sergio","Male","Spain","Football","Men","2000-09-04",1942089
"2024-08-09","Bronze ","TOCCALINO Sofia","Female","Argentina","Hockey","Women","1997-03-20",1538304
"2024-07-29","Silver ","HUH Mimi","Female","Republic of Korea","Judo","Women -57 kg","2002-12-19",1928067
"2024-07-27","Gold ","SMETOV Yeldos","Male","Kazakhstan","Judo","Men -60 kg","1992-09-09",1935408
"2024-07-30","Silver ","RI Jong Sik","Male","Democratic People's Republic of Korea","Table Tennis","Mixed Doubles","2000-02-14",1980143
"2024-08-10","Silver ","ANGELINA","Female","Brazil","Football","Women","2000-01-26",1967567
"2024-07-29","Bronze ","HASHIMOTO Soichi","Male","Japan","Judo","Men -73 kg","1991-08-24",1896740
"2024-08-04","Silver ","ANDERSON Iona","Female","Australia","Swimming","Women's 4 x 100m Medley Relay","2005-10-03",1946183
"2024-08-04","Gold ","PAOLINI Jasmine","Female","Italy","Tennis","Women's Doubles","1996-01-04",1910330
"2024-08-03","Silver ","ZALATY Yauheni","Male","AIN","Rowing","Men's Single Sculls","1999-09-09",1538160
"2024-08-09","Silver ","KALLBERG Anton","Male","Sweden","Table Tennis","Men's Team","1997-08-17",1563381
"2024-08-06","Bronze ","FURLANI Mattia","Male","Italy","Athletics","Men's Long Jump","2005-02-07",1552378
"2024-08-03","Gold ","RADIS Simona","Female","Romania","Rowing","Women's Eight","1999-04-05",1550560
"2024-08-03","Silver ","PAYNE Sydney","Female","Canada","Rowing","Women's Eight","1997-09-16",1967517
"2024-08-03","Bronze ","CAREY Jade","Female","United States of America","Artistic Gymnastics","Women's Vault","2000-05-27",1959819
"2024-08-03","Gold ","HUSKE Torri","Female","United States of America","Swimming","Mixed 4 x 100m Medley Relay","2002-12-07",1935923
"2024-08-03","Gold ","MURPHY Ryan","Male","United States of America","Swimming","Mixed 4 x 100m Medley Relay","1995-07-02",1935957
"2024-08-03","Gold ","WALSH Gretchen","Female","United States of America","Swimming","Mixed 4 x 100m Medley Relay","2003-01-29",1935998
"2024-08-03","Silver ","YANG Junxuan","Female","People's Republic of China","Swimming","Mixed 4 x 100m Medley Relay","2002-01-26",1945159
"2024-07-28","Bronze ","BHAKER Manu","Female","India","Shooting","10m Air Pistol Women","2002-02-18",1538159
"2024-08-03","Bronze ","STUBBLETY-COOK Zac","Male","Australia","Swimming","Mixed 4 x 100m Medley Relay","1999-01-04",1946185
"2024-08-03","Bronze ","McKEON Emma","Female","Australia","Swimming","Mixed 4 x 100m Medley Relay","1994-05-24",1946177
"2024-08-04","Silver ","ALEXY Jack","Male","United States of America","Swimming","Men's 4 x 100m Medley Relay","2003-01-19",1935869
"2024-08-10","Silver ","SEIITBEK UULU Munarbek","Male","Kyrgyzstan","Boxing","Men's 57kg","1996-01-01",1878687
"2024-08-03","Bronze ","CHALMERS Kyle","Male","Australia","Swimming","Mixed 4 x 100m Medley Relay","1998-06-25",1946200
"2024-08-03","Bronze ","McKEOWN Kaylee","Female","Australia","Swimming","Mixed 4 x 100m Medley Relay","2001-07-12",1946198
"2024-08-04","Gold ","DOUGLASS Kate","Female","United States of America","Swimming","Women's 4 x 100m Medley Relay","2001-11-17",1935895
"2024-08-04","Gold ","HUSKE Torri","Female","United States of America","Swimming","Women's 4 x 100m Medley Relay","2002-12-07",1935923
"2024-08-04","Gold ","SMITH Regan","Female","United States of America","Swimming","Women's 4 x 100m Medley Relay","2002-02-09",1935984
"2024-08-04","Gold ","WALSH Gretchen","Female","United States of America","Swimming","Women's 4 x 100m Medley Relay","2003-01-29",1935998
"2024-08-04","Silver ","RAMSAY Ella","Female","Australia","Swimming","Women's 4 x 100m Medley Relay","2004-07-12",1946174
"2024-08-04","Silver ","PERKINS Alexandria","Female","Australia","Swimming","Women's 4 x 100m Medley Relay","2000-07-27",1946146
"2024-08-04","Silver ","HARRIS Meg","Female","Australia","Swimming","Women's 4 x 100m Medley Relay","2002-03-07",1946212
"2024-08-04","Silver ","McKEON Emma","Female","Australia","Swimming","Women's 4 x 100m Medley Relay","1994-05-24",1946177
"2024-08-04","Silver ","McKEOWN Kaylee","Female","Australia","Swimming","Women's 4 x 100m Medley Relay","2001-07-12",1946198
"2024-08-04","Silver ","O'CALLAGHAN Mollie","Female","Australia","Swimming","Women's 4 x 100m Medley Relay","2004-04-02",1946218
"2024-07-31","Gold ","GU Bongil","Male","Republic of Korea","Fencing","Men's Sabre Team","1989-04-27",1927116
"2024-08-04","Bronze ","TANG Qianting","Female","People's Republic of China","Swimming","Women's 4 x 100m Medley Relay","2004-03-14",1945200
"2024-08-09","Gold ","HIGUCHI Rei","Male","Japan","Wrestling","Men's Freestyle 57kg","1996-01-28",1939714
"2024-08-04","Bronze ","YANG Junxuan","Female","People's Republic of China","Swimming","Women's 4 x 100m Medley Relay","2002-01-26",1945159
"2024-08-05","Silver ","SMITH Austen Jewell","Female","United States of America","Shooting","Skeet Mixed Team","2001-07-23",1944397
"2024-08-05","Silver ","HANCOCK Vincent","Male","United States of America","Shooting","Skeet Mixed Team","1989-03-19",1944354
"2024-08-05","Bronze ","JIANG Yiting","Female","People's Republic of China","Shooting","Skeet Mixed Team","2004-08-01",1913978
"2024-08-05","Bronze ","LYU Jianlin","Male","People's Republic of China","Shooting","Skeet Mixed Team","1996-07-26",1961747
"2024-08-05","Gold ","TERTSCH Lisa","Female","Germany","Triathlon","Mixed Relay","1998-12-01",1558784
"2024-08-05","Gold ","LUEHRS Lasse","Male","Germany","Triathlon","Mixed Relay","1996-05-16",1558775
"2024-08-05","Gold ","LINDEMANN Laura","Female","Germany","Triathlon","Mixed Relay","1996-06-26",1558773
"2024-08-05","Silver ","RIDER Seth","Male","United States of America","Triathlon","Mixed Relay","1997-03-06",1930750
"2024-08-05","Silver ","SPIVEY Taylor","Female","United States of America","Triathlon","Mixed Relay","1991-04-13",1930752
"2024-08-01","Bronze ","YANG Junxuan","Female","People's Republic of China","Swimming","Women's 4 x 200m Freestyle Relay","2002-01-26",1945159
"2024-08-02","Gold ","LIM Sihyeon","Female","Republic of Korea","Archery","Mixed Team","2003-06-13",1902147
"2024-08-02","Gold ","KIM Woojin","Male","Republic of Korea","Archery","Mixed Team","1992-06-20",1902135
"2024-08-05","Silver ","KNIBB Taylor","Female","United States of America","Triathlon","Mixed Relay","1998-02-14",1930739
"2024-08-06","Bronze ","BROWN Brittany","Female","United States of America","Athletics","Women's 200m","1995-04-18",1960588
"2024-08-06","Gold ","YAVI Winfred","Female","Bahrain","Athletics","Women's 3000m Steeplechase","1999-12-31",1926102
"2024-08-05","Bronze ","TAYLOR-BROWN Georgia","Female","Great Britain","Triathlon","Mixed Relay","1994-03-15",1904248
"2024-08-05","Bronze ","DICKINSON Samuel","Male","Great Britain","Triathlon","Mixed Relay","1997-07-11",1904232
"2024-08-05","Bronze ","POTTER Beth","Female","Great Britain","Triathlon","Mixed Relay","1991-12-27",1904244
"2024-08-10","Gold ","GARNBRET Janja","Female","Slovenia","Sport Climbing","Women's Boulder & Lead","1999-03-12",1981131
"2024-07-27","Silver ","MALLO-BRETON Auriane","Female","France","Fencing","Women's Épée Individual","1993-10-11",1916183
"2024-08-06","Gold ","van den BERG Roy","Male","Netherlands","Cycling Track","Men's Team Sprint","1988-09-08",1969218
"2024-08-06","Gold ","LAVREYSEN Harrie","Male","Netherlands","Cycling Track","Men's Team Sprint","1997-03-14",1969182
"2024-08-06","Gold ","HOOGLAND Jeffrey","Male","Netherlands","Cycling Track","Men's Team Sprint","1993-03-16",1969203
"2024-08-07","Silver ","RAMIREZ Daniella","Female","United States of America","Artistic Swimming","Team","2001-10-06",1943048
"2024-07-30","Silver ","KIM Kum Yong","Female","Democratic People's Republic of Korea","Table Tennis","Mixed Doubles","2001-08-17",1980142
"2024-07-30","Bronze ","SHIN Yubin","Female","Republic of Korea","Table Tennis","Mixed Doubles","2004-07-05",1936435
"2024-07-31","Bronze ","PIANFETTI Maxime","Male","France","Fencing","Men's Sabre Team","1999-03-15",1916231
"2024-08-07","Silver ","REMATI Ruby","Female","United States of America","Artistic Swimming","Team","2002-08-14",1943049
"2024-08-08","Silver ","HAVARD Noah","Male","Australia","Canoe Sprint","Men's Kayak Four 500m","2000-10-11",1940220
"2024-08-07","Gold ","CHANG Hao","Female","People's Republic of China","Artistic Swimming","Team","1997-04-28",1908847
"2024-08-10","Gold ","BUTLER Aaliyah","Female","United States of America","Athletics","Women's 4 x 400m Relay","2003-11-05",4979555
"2024-08-10","Gold ","ELLIS Kendall","Female","United States of America","Athletics","Women's 4 x 400m Relay","1996-03-08",1960984
"2024-08-10","Silver ","YABUSELE Guerschon","Male","France","Basketball","Men","1995-12-17",1573638
"2024-08-10","Bronze ","MOERKOEV Michael","Male","Denmark","Cycling Track","Men's Madison","1985-04-30",1879160
"2024-08-10","Gold ","NAEHER Alyssa","Female","United States of America","Football","Women","1988-04-20",1943575
"2024-08-10","Gold ","FOX Emily","Female","United States of America","Football","Women","1998-07-05",1943553
"2024-08-10","Bronze ","HANSEN Anne Mette","Female","Denmark","Handball","Women","1994-08-25",1895159
"2024-08-10","Bronze ","HEINDAHL Kathrine","Female","Denmark","Handball","Women","1992-03-26",1895232
"2024-07-30","Bronze ","LEE Joonhwan","Male","Republic of Korea","Judo","Men -81 kg","2002-06-19",1928079
"2024-08-06","Bronze ","MIRZAZADEH Amin","Male","Islamic Republic of Iran","Wrestling","Men's Greco-Roman 130kg","1998-01-08",1544882
"2024-08-09","Gold ","CAMELLO Sergio","Male","Spain","Football","Men","2001-02-10",1942046
"2024-08-02","Bronze ","JURKA Jakub","Male","Czechia","Fencing","Men's Épée Team","1999-06-13",1914535
"2024-08-10","Bronze ","LIN Xiyu Janet","Female","People's Republic of China","Golf","Women's Individual Stroke Play","1996-02-25",1913218
"2024-08-10","Silver ","SATO Taishu","Male","Japan","Modern Pentathlon","Men's Individual","1993-10-20",1887939
"2024-08-10","Bronze ","MALAN Giorgio","Male","Italy","Modern Pentathlon","Men's Individual","2000-01-27",1553031
"2024-08-10","Gold ","TALAKHADZE Lasha","Male","Georgia","Weightlifting","Men's +102kg","1993-10-02",1551443
"2024-08-10","Silver ","LALAYAN Varazdat","Male","Armenia","Weightlifting","Men's +102kg","1999-05-01",1544424
"2024-08-11","Silver ","CHERY Alexia","Female","France","Basketball","Women","1998-09-05",1573442
"2024-07-27","Gold ","OH Sanguk","Male","Republic of Korea","Fencing","Men's Sabre Individual","1996-09-30",1927149
"2024-07-28","Gold ","KIEFER Lee","Female","United States of America","Fencing","Women's Foil Individual","1994-06-15",1950611
"2024-08-11","Silver ","WASHINGTON Haleigh","Female","United States of America","Volleyball","Women","1995-09-22",1917766
"2024-08-11","Silver ","WONG-ORANTES Justine","Female","United States of America","Volleyball","Women","1995-10-06",1917769
"2024-08-11","Silver ","POULTER Jordyn","Female","United States of America","Volleyball","Women","1997-07-31",1917758
"2024-08-01","Gold ","LIU Yukun","Male","People's Republic of China","Shooting","50m Rifle 3 Positions Men","1997-04-12",1913922
"2024-08-01","Silver ","KULISH Serhiy","Male","Ukraine","Shooting","50m Rifle 3 Positions Men","1993-04-17",1555976
"2024-08-01","Bronze ","KUSALE Swapnil","Male","India","Shooting","50m Rifle 3 Positions Men","1995-08-06",1538084
"2024-07-27","Bronze ","ZAZZERI Lorenzo","Male","Italy","Swimming","Men's 4 x 100m Freestyle Relay","1994-08-09",1925669
"2024-08-07","Gold ","PALMER Keegan","Male","Australia","Skateboarding","Men's Park","2003-03-13",1946074
"2024-07-31","Bronze ","SMITH Penny","Female","Australia","Shooting","Trap Women","1995-04-21",1967454
"2024-08-09","Silver ","NICKA","Female","Lithuania","Breaking","B-Girls","2007-06-08",1924559
"2024-08-02","Bronze ","LAUGHER Jack","Male","Great Britain","Diving","Men's Synchronised 3m Springboard","1995-01-30",1900848
"2024-08-02","Gold ","BRASH Scott","Male","Great Britain","Equestrian","Jumping Team","1985-11-23",1970891
"2024-08-02","Gold ","CHARLES Harry","Male","Great Britain","Equestrian","Jumping Team","1999-07-15",1970896
"2024-08-02","Gold ","STOCKDALE Joseph","Male","Great Britain","Equestrian","Jumping Team","1999-10-18",1970925
