"medal_type","medal_date","athlete_name","discipline","event_name","country_long"
"Gold ","2024-08-03","Katie LEDECKY","Swimming","Women's 800m Freestyle","United States of America"
"Silver ","2024-08-03","Ariarne TITMUS","Swimming","Women's 800m Freestyle","Australia"
"Bronze ","2024-08-03","Paige MADDEN","Swimming","Women's 800m Freestyle","United States of America"
"Gold ","2024-08-03","CHEN Meng","Table Tennis","Women's Singles","People's Republic of China"
"Silver ","2024-08-03","SUN Yingsha","Table Tennis","Women's Singles","People's Republic of China"
"Bronze ","2024-08-03","Hina HAYATA","Table Tennis","Women's Singles","Japan"
"Silver ","2024-08-03","KRAJICEK/RAM","Tennis","Men's Doubles","United States of America"
"Bronze ","2024-08-03","FRITZ/PAUL","Tennis","Men's Doubles","United States of America"
"Bronze ","2024-08-03","Lorenzo MUSETTI","Tennis","Men's Singles","Italy"
"Gold ","2024-08-03","ZHENG Qinwen","Tennis","Women's Singles","People's Republic of China"
"Silver ","2024-08-03","Donna VEKIC","Tennis","Women's Singles","Croatia"
"Gold ","2024-08-04","KIM Woojin","Archery","Men's Individual","Republic of Korea"
"Silver ","2024-08-04","Brady ELLISON","Archery","Men's Individual","United States of America"
"Bronze ","2024-08-04","LEE Wooseok","Archery","Men's Individual","Republic of Korea"
"Gold ","2024-08-04","LIU Yang","Artistic Gymnastics","Men's Rings","People's Republic of China"
"Silver ","2024-08-04","ZOU Jingyuan","Artistic Gymnastics","Men's Rings","People's Republic of China"
"Bronze ","2024-08-04","Eleftherios PETROUNIAS","Artistic Gymnastics","Men's Rings","Greece"
"Gold ","2024-08-04","Carlos Edriel YULO","Artistic Gymnastics","Men's Vault","Philippines"
"Gold ","2024-08-01","LIU Yukun","Shooting","50m Rifle 3 Positions Men","People's Republic of China"
"Silver ","2024-08-01","Serhiy KULISH","Shooting","50m Rifle 3 Positions Men","Ukraine"
"Bronze ","2024-08-01","Swapnil KUSALE","Shooting","50m Rifle 3 Positions Men","India"
"Silver ","2024-08-01","Apostolos CHRISTOU","Swimming","Men's 200m Backstroke","Greece"
"Bronze ","2024-08-01","Roman MITYUKOV","Swimming","Men's 200m Backstroke","Switzerland"
"Gold ","2024-08-01","Kate DOUGLASS","Swimming","Women's 200m Breaststroke","United States of America"
"Silver ","2024-08-01","Tatjana SMITH","Swimming","Women's 200m Breaststroke","South Africa"
"Bronze ","2024-08-01","Tes SCHOUTEN","Swimming","Women's 200m Breaststroke","Netherlands"
"Bronze ","2024-08-11","Tatiana RENTERIA RENTERIA","Wrestling","Women's Freestyle 76kg","Colombia"
"Bronze ","2024-08-07","Nesthy PETECIO","Boxing","Women's 57kg","Philippines"
"Gold ","2024-08-07","Australia","Cycling Track","Men's Team Pursuit","Australia"
"Gold ","2024-08-10","AHMAN/HELLVIG","Beach Volleyball","Men","Sweden"
"Silver ","2024-08-09","Great Britain","Athletics","Women's 4 x 100m Relay","Great Britain"
"Bronze ","2024-08-09","Germany","Athletics","Women's 4 x 100m Relay","Germany"
"Gold ","2024-08-09","Marileidy PAULINO","Athletics","Women's 400m","Dominican Republic"
"Bronze ","2024-08-10","Denmark","Cycling Track","Men's Madison","Denmark"
"Gold ","2024-08-10","CAO Yuan","Diving","Men's 10m Platform","People's Republic of China"
"Bronze ","2024-08-02","Iga SWIATEK","Tennis","Women's Singles","Poland"
"Silver ","2024-08-04","Artur DAVTYAN","Artistic Gymnastics","Men's Vault","Armenia"
"Bronze ","2024-08-04","Harry HEPWORTH","Artistic Gymnastics","Men's Vault","Great Britain"
"Gold ","2024-08-04","Kaylia NEMOUR","Artistic Gymnastics","Women's Uneven Bars","Algeria"
"Silver ","2024-08-04","QIU Qiyuan","Artistic Gymnastics","Women's Uneven Bars","People's Republic of China"
"Bronze ","2024-08-04","Sunisa LEE","Artistic Gymnastics","Women's Uneven Bars","United States of America"
"Gold ","2024-08-04","Noah LYLES","Athletics","Men's 100m","United States of America"
"Bronze ","2024-08-04","Fred KERLEY","Athletics","Men's 100m","United States of America"
"Bronze ","2024-07-31","Beth POTTER","Triathlon","Women's Individual","Great Britain"
"Silver ","2024-08-05","CHO Yeongjae","Shooting","25m Rapid Fire Pistol Men","Republic of Korea"
"Gold ","2024-08-01","Simone BILES","Artistic Gymnastics","Women's All-Around","United States of America"
"Silver ","2024-08-01","Rebeca ANDRADE","Artistic Gymnastics","Women's All-Around","Brazil"
"Bronze ","2024-08-01","Sunisa LEE","Artistic Gymnastics","Women's All-Around","United States of America"
"Gold ","2024-08-01","Brian Daniel PINTADO","Athletics","Men's 20km Race Walk","Ecuador"
"Bronze ","2024-08-01","Alvaro MARTIN","Athletics","Men's 20km Race Walk","Spain"
"Gold ","2024-08-01","YANG Jiayu","Athletics","Women's 20km Race Walk","People's Republic of China"
"Silver ","2024-08-01","Maria PEREZ","Athletics","Women's 20km Race Walk","Spain"
"Gold ","2024-08-02","Korea","Archery","Mixed Team","Republic of Korea"
"Gold ","2024-08-08","VADLAU/MAEHR","Sailing","Mixed Dinghy","Austria"
"Bronze ","2024-08-02","United States","Archery","Mixed Team","United States of America"
"Gold ","2024-08-02","Joshua CHEPTEGEI","Athletics","Men's 10,000m","Uganda"
"Silver ","2024-08-02","Berihu AREGAWI","Athletics","Men's 10,000m","Ethiopia"
"Gold ","2024-07-29","Nicolas GESTIN","Canoe Slalom","Men's Canoe Single","France"
"Silver ","2024-07-29","Adam BURGESS","Canoe Slalom","Men's Canoe Single","Great Britain"
"Bronze ","2024-07-29","Matej BENUS","Canoe Slalom","Men's Canoe Single","Slovakia"
"Silver ","2024-07-29","France","Equestrian","Eventing Team","France"
"Silver ","2024-07-29","Katie GRIMES","Swimming","Women's 400m Individual Medley","United States of America"
"Bronze ","2024-07-29","Emma WEYANT","Swimming","Women's 400m Individual Medley","United States of America"
"Silver ","2024-07-28","Adam PEATY","Swimming","Men's 100m Breaststroke","Great Britain"
"Silver ","2024-07-28","Nic FINK","Swimming","Men's 100m Breaststroke","United States of America"
"Gold ","2024-07-28","Leon MARCHAND","Swimming","Men's 400m Individual Medley","France"
"Silver ","2024-07-28","MATSUSHITA Tomoyuki","Swimming","Men's 400m Individual Medley","Japan"
"Silver ","2024-07-31","Torri HUSKE","Swimming","Women's 100m Freestyle","United States of America"
"Bronze ","2024-07-31","HAUGHEY Siobhan Bernadette","Swimming","Women's 100m Freestyle","Hong Kong, China"
"Gold ","2024-07-31","Katie LEDECKY","Swimming","Women's 1500m Freestyle","United States of America"
"Silver ","2024-07-31","Anastasiia KIRPICHNIKOVA","Swimming","Women's 1500m Freestyle","France"
"Bronze ","2024-07-31","Isabel GOSE","Swimming","Women's 1500m Freestyle","Germany"
"Silver ","2024-07-31","Hayden WILDE","Triathlon","Men's Individual","New Zealand"
"Gold ","2024-07-31","Cassandre BEAUGRAND","Triathlon","Women's Individual","France"
"Silver ","2024-07-31","Julie DERRON","Triathlon","Women's Individual","Switzerland"
"Gold ","2024-08-02","Saya SAKAKIBARA","Cycling BMX Racing","Women","Australia"
"Silver ","2024-08-02","Manon VEENSTRA","Cycling BMX Racing","Women","Netherlands"
"Silver ","2024-08-02","McHARDIE/McKENZIE","Sailing","Men's Skiff","New Zealand"
"Bronze ","2024-08-02","BARROWS/HENKEN","Sailing","Men's Skiff","United States of America"
"Gold ","2024-08-02","AANHOLT/DUETZ","Sailing","Women's Skiff","Netherlands"
"Bronze ","2024-08-02","STEYAERT/PICON","Sailing","Women's Skiff","France"
"Gold ","2024-08-02","Chiara LEONE","Shooting","50m Rifle 3 Positions Women","Switzerland"
"Silver ","2024-08-02","Sagen MADDALENA","Shooting","50m Rifle 3 Positions Women","United States of America"
"Bronze ","2024-08-02","ZHANG Qiongyue","Shooting","50m Rifle 3 Positions Women","People's Republic of China"
"Gold ","2024-08-02","Leon MARCHAND","Swimming","Men's 200m Individual Medley","France"
"Silver ","2024-08-02","Duncan SCOTT","Swimming","Men's 200m Individual Medley","Great Britain"
"Bronze ","2024-08-02","WANG Shun","Swimming","Men's 200m Individual Medley","People's Republic of China"
"Gold ","2024-08-01","United States","Rowing","Men's Four","United States of America"
"Silver ","2024-08-05","United States 1","Shooting","Skeet Mixed Team","United States of America"
"Bronze ","2024-08-05","China","Shooting","Skeet Mixed Team","People's Republic of China"
"Silver ","2024-08-05","Jack ROBINSON","Surfing","Men","Australia"
"Gold ","2024-08-05","Caroline MARKS","Surfing","Women","United States of America"
"Silver ","2024-08-05","Tatiana WESTON-WEBB","Surfing","Women","Brazil"
"Bronze ","2024-08-05","Johanne DEFAY","Surfing","Women","France"
"Silver ","2024-08-05","United States","Triathlon","Mixed Relay","United States of America"
"Bronze ","2024-08-05","Great Britain","Triathlon","Mixed Relay","Great Britain"
"Gold ","2024-08-06","Cole HOCKER","Athletics","Men's 1500m","United States of America"
"Bronze ","2024-07-31","Anthony JEANJEAN","Cycling BMX Freestyle","Men's Park","France"
"Gold ","2024-08-03","Oliver ZEIDLER","Rowing","Men's Single Sculls","Germany"
"Silver ","2024-08-03","Yauheni ZALATY","Rowing","Men's Single Sculls","AIN"
"Bronze ","2024-08-03","Simon van DORP","Rowing","Men's Single Sculls","Netherlands"
"Bronze ","2024-08-03","Great Britain","Rowing","Women's Eight","Great Britain"
"Gold ","2024-08-03","Karolien FLORIJN","Rowing","Women's Single Sculls","Netherlands"
"Silver ","2024-08-03","Emma TWIGG","Rowing","Women's Single Sculls","New Zealand"
"Bronze ","2024-07-27","Italy","Swimming","Men's 4 x 100m Freestyle Relay","Italy"
"Gold ","2024-08-10","LI Qian","Boxing","Women's 75kg","People's Republic of China"
"Silver ","2024-08-10","Atheyna Bibeichi BYLON","Boxing","Women's 75kg","Panama"
"Silver ","2024-07-31","Kyle CHALMERS","Swimming","Men's 100m Freestyle","Australia"
"Gold ","2024-07-31","China","Diving","Women's Synchronised 10m Platform","People's Republic of China"
"Bronze ","2024-07-29","Luke HOBSON","Swimming","Men's 200m Freestyle","United States of America"
"Gold ","2024-07-29","Summer McINTOSH","Swimming","Women's 400m Individual Medley","Canada"
"Gold ","2024-07-30","United States","Artistic Gymnastics","Women's Team","United States of America"
"Gold ","2024-07-28","Lee KIEFER","Fencing","Women's Foil Individual","United States of America"
"Bronze ","2024-08-11","United States","Water Polo","Men","United States of America"
"Gold ","2024-07-27","KONG Man Wai Vivian","Fencing","Women's Épée Individual","Hong Kong, China"
"Silver ","2024-07-27","Auriane MALLO-BRETON","Fencing","Women's Épée Individual","France"
"Bronze ","2024-07-27","Eszter MUHARI","Fencing","Women's Épée Individual","Hungary"
"Bronze ","2024-07-27","NAGAYAMA Ryuju","Judo","Men -60 kg","Japan"
"Bronze ","2024-07-29","Nyjah HUSTON","Skateboarding","Men's Street","United States of America"
"Gold ","2024-08-08","Germany","Canoe Sprint","Men's Kayak Four 500m","Germany"
"Gold ","2024-08-04","Ethan KATZBERG","Athletics","Men's Hammer Throw","Canada"
"Gold ","2024-07-29","China","Diving","Men's Synchronised 10m Platform","People's Republic of China"
"Silver ","2024-07-29","Great Britain","Diving","Men's Synchronised 10m Platform","Great Britain"
"Gold ","2024-07-29","Michael JUNG","Equestrian","Eventing Individual","Germany"
"Silver ","2024-08-10","Ronald KWEMOI","Athletics","Men's 5000m","Kenya"
"Bronze ","2024-07-31","Gabriella WILLEMS","Judo","Women -70 kg","Belgium"
"Gold ","2024-07-31","Netherlands","Rowing","Men's Quadruple Sculls","Netherlands"
"Silver ","2024-07-31","Italy","Rowing","Men's Quadruple Sculls","Italy"
"Bronze ","2024-07-31","Poland","Rowing","Men's Quadruple Sculls","Poland"
"Gold ","2024-08-02","Beatriz SOUZA","Judo","Women +78 kg","Brazil"
"Bronze ","2024-08-03","United States","Rowing","Men's Eight","United States of America"
"Bronze ","2024-08-02","Zoe CLAESSENS","Cycling BMX Racing","Women","Switzerland"
"Gold ","2024-08-02","China","Diving","Men's Synchronised 3m Springboard","People's Republic of China"
"Silver ","2024-08-02","Mexico","Diving","Men's Synchronised 3m Springboard","Mexico"
"Bronze ","2024-08-02","Great Britain","Diving","Men's Synchronised 3m Springboard","Great Britain"
"Silver ","2024-07-27","Filippo GANNA","Cycling Road","Men's Individual Time Trial","Italy"
"Gold ","2024-08-02","Great Britain","Equestrian","Jumping Team","Great Britain"
"Silver ","2024-08-02","United States","Equestrian","Jumping Team","United States of America"
"Bronze ","2024-08-02","France","Equestrian","Jumping Team","France"
"Gold ","2024-08-02","Hungary","Fencing","Men's Épée Team","Hungary"
"Silver ","2024-08-02","Japan","Fencing","Men's Épée Team","Japan"
"Bronze ","2024-07-29","Canada","Diving","Men's Synchronised 10m Platform","Canada"
"Bronze ","2024-08-02","Czechia","Fencing","Men's Épée Team","Czechia"
"Silver ","2024-08-02","KIM Minjong","Judo","Men +100 kg","Republic of Korea"
"Bronze ","2024-08-02","Temur RAKHIMOV","Judo","Men +100 kg","Tajikistan"
"Bronze ","2024-08-02","Alisher YUSUPOV","Judo","Men +100 kg","Uzbekistan"
"Bronze ","2024-08-04","Davlat BOLTAEV","Boxing","Men's 92kg","Tajikistan"
"Gold ","2024-08-05","Germany","3x3 Basketball","Women","Germany"
"Bronze ","2024-08-05","United States","3x3 Basketball","Women","United States of America"
"Gold ","2024-08-05","OKA Shinnosuke","Artistic Gymnastics","Men's Horizontal Bar","Japan"
"Silver ","2024-08-05","Angel BARAJAS","Artistic Gymnastics","Men's Horizontal Bar","Colombia"
"Gold ","2024-08-06","Netherlands","Cycling Track","Men's Team Sprint","Netherlands"
"Bronze ","2024-08-05","ZHANG Boheng","Artistic Gymnastics","Men's Horizontal Bar","People's Republic of China"
"Bronze ","2024-08-05","TANG Chia-Hung","Artistic Gymnastics","Men's Horizontal Bar","Chinese Taipei"
"Gold ","2024-08-05","ZOU Jingyuan","Artistic Gymnastics","Men's Parallel Bars","People's Republic of China"
"Silver ","2024-07-31","MURAO Sanshiro","Judo","Men -90 kg","Japan"
"Gold ","2024-08-11","Serbia","Water Polo","Men","Serbia"
"Gold ","2024-08-02","Teddy RINER","Judo","Men +100 kg","France"
"Bronze ","2024-07-31","Maxime-Gael NGAYAP HAMBOU","Judo","Men -90 kg","France"
"Bronze ","2024-07-31","Theodoros TSELIDIS","Judo","Men -90 kg","Greece"
"Silver ","2024-07-31","Miriam BUTKEREIT","Judo","Women -70 kg","Germany"
"Bronze ","2024-07-31","Michaela POLLERES","Judo","Women -70 kg","Austria"
"Bronze ","2024-08-04","MATSUYAMA Hideki","Golf","Men's Individual Stroke Play","Japan"
"Gold ","2024-08-04","Francisca CROVETTO CHADID","Shooting","Skeet Women","Chile"
"Silver ","2024-08-02","Great Britain","Rowing","Men's Pair","Great Britain"
"Silver ","2024-08-01","Caio BONFIM","Athletics","Men's 20km Race Walk","Brazil"
"Silver ","2024-08-04","Amber Jo RUTTER","Shooting","Skeet Women","Great Britain"
"Bronze ","2024-08-04","Austen Jewell SMITH","Shooting","Skeet Women","United States of America"
"Bronze ","2024-08-10","Netherlands","Artistic Swimming","Duet","Netherlands"
"Gold ","2024-08-04","Bobby FINKE","Swimming","Men's 1500m Freestyle","United States of America"
"Gold ","2024-08-04","ERRANI/PAOLINI","Tennis","Women's Doubles","Italy"
"Silver ","2024-08-04","ANDREEVA/SHNAIDER","Tennis","Women's Doubles","AIN"
"Bronze ","2024-08-04","BUCSA/SORRIBES TORMO","Tennis","Women's Doubles","Spain"
"Gold ","2024-08-05","Netherlands","3x3 Basketball","Men","Netherlands"
"Bronze ","2024-07-31","Leo BERGERE","Triathlon","Men's Individual","France"
"Gold ","2024-08-04","Sarah SJOESTROEM","Swimming","Women's 50m Freestyle","Sweden"
"Silver ","2024-08-04","Meg HARRIS","Swimming","Women's 50m Freestyle","Australia"
"Bronze ","2024-08-04","ZHANG Yufei","Swimming","Women's 50m Freestyle","People's Republic of China"
"Gold ","2024-08-04","FAN Zhendong","Table Tennis","Men's Singles","People's Republic of China"
"Silver ","2024-08-04","Truls MOREGARD","Table Tennis","Men's Singles","Sweden"
"Bronze ","2024-08-04","Felix LEBRUN","Table Tennis","Men's Singles","France"
"Bronze ","2024-08-02","DABROWSKI/AUGER-ALIAS","Tennis","Mixed Doubles","Canada"
"Gold ","2024-08-05","Armand DUPLANTIS","Athletics","Men's Pole Vault","Sweden"
"Bronze ","2024-07-29","United States","Artistic Gymnastics","Men's Team","United States of America"
"Bronze ","2024-08-09","Gulomjon ABDULLAEV","Wrestling","Men's Freestyle 57kg","Uzbekistan"
"Gold ","2024-08-09","Magomed Eldarovitch RAMAZANOV","Wrestling","Men's Freestyle 86kg","Bulgaria"
"Silver ","2024-08-09","Hassan YAZDANICHARATI","Wrestling","Men's Freestyle 86kg","Islamic Republic of Iran"
"Bronze ","2024-08-09","Aaron Marquel BROOKS","Wrestling","Men's Freestyle 86kg","United States of America"
"Bronze ","2024-08-09","Dauren KURUGLIEV","Wrestling","Men's Freestyle 86kg","Greece"
"Gold ","2024-08-09","SAKURAI Tsugumi","Wrestling","Women's Freestyle 57kg","Japan"
"Silver ","2024-08-09","Anastasia NICHITA","Wrestling","Women's Freestyle 57kg","Republic of Moldova"
"Bronze ","2024-08-09","Helen Louise MAROULIS","Wrestling","Women's Freestyle 57kg","United States of America"
"Bronze ","2024-08-09","HONG Kexin","Wrestling","Women's Freestyle 57kg","People's Republic of China"
"Gold ","2024-07-27","Grace BROWN","Cycling Road","Women's Individual Time Trial","Australia"
"Gold ","2024-08-10","China","Artistic Swimming","Duet","People's Republic of China"
"Silver ","2024-08-10","Great Britain","Artistic Swimming","Duet","Great Britain"
"Gold ","2024-08-10","United States","Athletics","Men's 4 x 400m Relay","United States of America"
"Silver ","2024-08-10","Botswana","Athletics","Men's 4 x 400m Relay","Botswana"
"Bronze ","2024-08-10","Great Britain","Athletics","Men's 4 x 400m Relay","Great Britain"
"Gold ","2024-08-10","Jakob INGEBRIGTSEN","Athletics","Men's 5000m","Norway"
"Bronze ","2024-08-03","WU Shih Yi","Boxing","Women's 60kg","Chinese Taipei"
"Bronze ","2024-08-05","Germany","Cycling Track","Women's Team Sprint","Germany"
"Silver ","2024-08-05","Simone BILES","Artistic Gymnastics","Women's Floor Exercise","United States of America"
"Silver ","2024-08-05","Sam KENDRICKS","Athletics","Men's Pole Vault","United States of America"
"Bronze ","2024-08-05","Emmanouil KARALIS","Athletics","Men's Pole Vault","Greece"
"Gold ","2024-08-05","Keely HODGKINSON","Athletics","Women's 800m","Great Britain"
"Gold ","2024-07-29","Thomas PIDCOCK","Cycling Mountain Bike","Men's Cross-country","Great Britain"
"Silver ","2024-07-29","Victor KORETZKY","Cycling Mountain Bike","Men's Cross-country","France"
"Bronze ","2024-07-29","Alan HATHERLY","Cycling Mountain Bike","Men's Cross-country","South Africa"
"Silver ","2024-08-07","United States","Artistic Swimming","Team","United States of America"
"Gold ","2024-08-07","MARTIN A/PEREZ M","Athletics","Marathon Race Walk Relay Mixed","Spain"
"Silver ","2024-08-07","PINTADO B/MOREJON G","Athletics","Marathon Race Walk Relay Mixed","Ecuador"
"Bronze ","2024-08-03","Jake JARMAN","Artistic Gymnastics","Men's Floor Exercise","Great Britain"
"Gold ","2024-08-03","Rhys MC CLENAGHAN","Artistic Gymnastics","Men's Pommel Horse","Ireland"
"Silver ","2024-08-03","Nariman KURBANOV","Artistic Gymnastics","Men's Pommel Horse","Kazakhstan"
"Bronze ","2024-08-03","Stephen NEDOROSCIK","Artistic Gymnastics","Men's Pommel Horse","United States of America"
"Gold ","2024-08-03","Simone BILES","Artistic Gymnastics","Women's Vault","United States of America"
"Silver ","2024-08-03","Rebeca ANDRADE","Artistic Gymnastics","Women's Vault","Brazil"
"Bronze ","2024-08-03","Jade CAREY","Artistic Gymnastics","Women's Vault","United States of America"
"Gold ","2024-08-03","Netherlands","Athletics","4 x 400m Relay Mixed","Netherlands"
"Silver ","2024-08-03","United States","Athletics","4 x 400m Relay Mixed","United States of America"
"Gold ","2024-08-05","Valarie ALLMAN","Athletics","Women's Discus Throw","United States of America"
"Silver ","2024-08-05","FENG Bin","Athletics","Women's Discus Throw","People's Republic of China"
"Bronze ","2024-08-05","Sandra ELKASEVIC","Athletics","Women's Discus Throw","Croatia"
"Gold ","2024-08-05","Viktor AXELSEN","Badminton","Men's Singles","Denmark"
"Silver ","2024-08-05","Kunlavut VITIDSARN","Badminton","Men's Singles","Thailand"
"Bronze ","2024-08-05","Zii Jia LEE","Badminton","Men's Singles","Malaysia"
"Gold ","2024-08-05","AN Se Young","Badminton","Women's Singles","Republic of Korea"
"Silver ","2024-08-05","HE Bing Jiao","Badminton","Women's Singles","People's Republic of China"
"Bronze ","2024-07-29","Nick ITKIN","Fencing","Men's Foil Individual","United States of America"
"Bronze ","2024-08-05","Mary MORAA","Athletics","Women's 800m","Kenya"
"Gold ","2024-07-29","Manon APITHY-BRUNET","Fencing","Women's Sabre Individual","France"
"Silver ","2024-07-29","Sara BALZER","Fencing","Women's Sabre Individual","France"
"Silver ","2024-08-11","Elodie CLOUVEL","Modern Pentathlon","Women's Individual","France"
"Bronze ","2024-08-11","SEONG Seungmin","Modern Pentathlon","Women's Individual","Republic of Korea"
"Silver ","2024-08-03","Conner Lynn PRINCE","Shooting","Skeet Men","United States of America"
"Bronze ","2024-08-03","LEE Meng Yuan","Shooting","Skeet Men","Chinese Taipei"
"Gold ","2024-08-03","Kristof MILAK","Swimming","Men's 100m Butterfly","Hungary"
"Silver ","2024-08-03","Josh LIENDO","Swimming","Men's 100m Butterfly","Canada"
"Bronze ","2024-08-07","Cyrian RAVET","Taekwondo","Men -58kg","France"
"Gold ","2024-07-31","Alex YEE","Triathlon","Men's Individual","Great Britain"
"Gold ","2024-08-02","BOTIN/TRITTEL","Sailing","Men's Skiff","Spain"
"Silver ","2024-08-01","New Zealand","Rowing","Men's Four","New Zealand"
"Bronze ","2024-08-11","Australia","Basketball","Women","Australia"
"Silver ","2024-07-27","Fares FERJANI","Fencing","Men's Sabre Individual","Tunisia"
"Gold ","2024-08-05","Finn BUTCHER","Canoe Slalom","Men's Kayak Cross","New Zealand"
"Silver ","2024-08-05","Joseph CLARKE","Canoe Slalom","Men's Kayak Cross","Great Britain"
"Bronze ","2024-08-05","Noah HEGGE","Canoe Slalom","Men's Kayak Cross","Germany"
"Gold ","2024-08-05","Noemie FOX","Canoe Slalom","Women's Kayak Cross","Australia"
"Silver ","2024-08-05","Angele HUG","Canoe Slalom","Women's Kayak Cross","France"
"Bronze ","2024-08-05","Kimberley WOODS","Canoe Slalom","Women's Kayak Cross","Great Britain"
"Gold ","2024-08-05","Great Britain","Cycling Track","Women's Team Sprint","Great Britain"
"Silver ","2024-08-05","New Zealand","Cycling Track","Women's Team Sprint","New Zealand"
"Bronze ","2024-08-03","Great Britain","Athletics","4 x 400m Relay Mixed","Great Britain"
"Silver ","2024-08-03","Leo NEUGEBAUER","Athletics","Men's Decathlon","Germany"
"Bronze ","2024-08-03","Lindon VICTOR","Athletics","Men's Decathlon","Grenada"
"Bronze ","2024-07-28","Mexico","Archery","Women's Team","Mexico"
"Silver ","2024-08-11","United States","Volleyball","Women","United States of America"
"Gold ","2024-07-27","OH Sanguk","Fencing","Men's Sabre Individual","Republic of Korea"
"Bronze ","2024-08-07","Esra YILDIZ KAHRAMAN","Boxing","Women's 57kg","Türkiye"
"Bronze ","2024-08-03","Ilya KHARUN","Swimming","Men's 100m Butterfly","Canada"
"Gold ","2024-08-03","United States","Swimming","Mixed 4 x 100m Medley Relay","United States of America"
"Silver ","2024-08-03","China","Swimming","Mixed 4 x 100m Medley Relay","People's Republic of China"
"Bronze ","2024-08-03","Australia","Swimming","Mixed 4 x 100m Medley Relay","Australia"
"Gold ","2024-08-01","United States","Fencing","Women's Foil Team","United States of America"
"Gold ","2024-08-08","Ulugbek RASHITOV","Taekwondo","Men -68kg","Uzbekistan"
"Bronze ","2024-08-08","LIANG Yushuai","Taekwondo","Men -68kg","People's Republic of China"
"Bronze ","2024-08-08","Edival PONTES","Taekwondo","Men -68kg","Brazil"
"Gold ","2024-08-08","KIM Yujin","Taekwondo","Women -57kg","Republic of Korea"
"Silver ","2024-08-08","Nahid KIYANICHANDEH","Taekwondo","Women -57kg","Islamic Republic of Iran"
"Bronze ","2024-08-08","Skylar PARK","Taekwondo","Women -57kg","Canada"
"Gold ","2024-08-01","Hubert KOS","Swimming","Men's 200m Backstroke","Hungary"
"Bronze ","2024-08-09","Andy DIAZ HERNANDEZ","Athletics","Men's Triple Jump","Italy"
"Silver ","2024-08-01","Great Britain","Rowing","Women's Four","Great Britain"
"Bronze ","2024-08-10","Nikola OGRODNIKOVA","Athletics","Women's Javelin Throw","Czechia"
"Gold ","2024-08-10","United States","Basketball","Men","United States of America"
"Silver ","2024-08-10","EHLERS/WICKLER","Beach Volleyball","Men","Germany"
"Silver ","2024-08-06","Great Britain","Cycling Track","Men's Team Sprint","Great Britain"
"Bronze ","2024-08-03","Viktorija SENKUTE","Rowing","Women's Single Sculls","Lithuania"
"Gold ","2024-08-03","Tom REUVENY","Sailing","Men's Windsurfing","Israel"
"Silver ","2024-08-03","Grae MORRIS","Sailing","Men's Windsurfing","Australia"
"Bronze ","2024-08-03","Luuc van OPZEELAND","Sailing","Men's Windsurfing","Netherlands"
"Gold ","2024-08-03","Marta MAGGETTI","Sailing","Women's Windsurfing","Italy"
"Silver ","2024-08-03","Sharon KANTOR","Sailing","Women's Windsurfing","Israel"
"Bronze ","2024-08-08","Hasrat JAFAROV","Wrestling","Men's Greco-Roman 67kg","Azerbaijan"
"Gold ","2024-08-08","Benjamin THOMAS","Cycling Track","Men's Omnium","France"
"Bronze ","2024-08-08","Luis Alberto ORTA SANCHEZ","Wrestling","Men's Greco-Roman 67kg","Cuba"
"Gold ","2024-08-08","Semen Sergeevich NOVIKOV","Wrestling","Men's Greco-Roman 87kg","Bulgaria"
"Silver ","2024-08-08","Alireza MOHMADIPIANI","Wrestling","Men's Greco-Roman 87kg","Islamic Republic of Iran"
"Bronze ","2024-08-08","Zhan BELENIUK","Wrestling","Men's Greco-Roman 87kg","Ukraine"
"Bronze ","2024-08-08","Turpal Ali BISULTANOV","Wrestling","Men's Greco-Roman 87kg","Denmark"
"Gold ","2024-08-08","FUJINAMI Akari","Wrestling","Women's Freestyle 53kg","Japan"
"Silver ","2024-08-08","Lucia Yamileth YEPEZ GUZMAN","Wrestling","Women's Freestyle 53kg","Ecuador"
"Bronze ","2024-08-08","CHOE Hyo Gyong","Wrestling","Women's Freestyle 53kg","Democratic People's Republic of Korea"
"Bronze ","2024-08-08","PANG Qianyu","Wrestling","Women's Freestyle 53kg","People's Republic of China"
"Silver ","2024-08-09","South Africa","Athletics","Men's 4 x 100m Relay","South Africa"
"Bronze ","2024-08-09","Great Britain","Athletics","Men's 4 x 100m Relay","Great Britain"
"Gold ","2024-08-09","Rai BENJAMIN","Athletics","Men's 400m Hurdles","United States of America"
"Silver ","2024-08-09","Karsten WARHOLM","Athletics","Men's 400m Hurdles","Norway"
"Bronze ","2024-08-09","Alison dos SANTOS","Athletics","Men's 400m Hurdles","Brazil"
"Silver ","2024-08-08","Hatice AKBAS","Boxing","Women's 54kg","Türkiye"
"Bronze ","2024-08-10","Brazil","Volleyball","Women","Brazil"
"Bronze ","2024-08-03","Emma WILSON","Sailing","Women's Windsurfing","Great Britain"
"Silver ","2024-08-05","France","3x3 Basketball","Men","France"
"Gold ","2024-08-03","YANG Jiin","Shooting","25m Pistol Women","Republic of Korea"
"Silver ","2024-08-03","Camille JEDRZEJEWSKI","Shooting","25m Pistol Women","France"
"Bronze ","2024-08-03","Veronika MAJOR","Shooting","25m Pistol Women","Hungary"
"Gold ","2024-08-03","Vincent HANCOCK","Shooting","Skeet Men","United States of America"
"Bronze ","2024-07-28","Amandine BUCHARD","Judo","Women -52 kg","France"
