"medal_type","medal_date","athlete_name","discipline","event_name","country_long"
"Bronze ","2024-08-04","France","Fencing","Men's Foil Team","France"
"Gold ","2024-08-04","Scottie SCHEFFLER","Golf","Men's Individual Stroke Play","United States of America"
"Silver ","2024-08-04","Tommy FLEETWOOD","Golf","Men's Individual Stroke Play","Great Britain"
"Bronze ","2024-08-09","Germany","Football","Women","Germany"
"Gold ","2024-08-06","QUAN Hongchan","Diving","Women's 10m Platform","People's Republic of China"
"Silver ","2024-08-06","CHEN Yuxi","Diving","Women's 10m Platform","People's Republic of China"
"Bronze ","2024-08-06","KIM Mi Rae","Diving","Women's 10m Platform","Democratic People's Republic of Korea"
"Silver ","2024-08-06","Steve GUERDAT","Equestrian","Jumping Individual","Switzerland"
"Bronze ","2024-08-06","Maikel van der VLEUTEN","Equestrian","Jumping Individual","Netherlands"
"Gold ","2024-08-07","Roje STONA","Athletics","Men's Discus Throw","Jamaica"
"Silver ","2024-08-07","Mykolas ALEKNA","Athletics","Men's Discus Throw","Lithuania"
"Bronze ","2024-08-07","Matthew DENNY","Athletics","Men's Discus Throw","Australia"
"Gold ","2024-08-07","Nina KENNEDY","Athletics","Women's Pole Vault","Australia"
"Silver ","2024-08-07","Katie MOON","Athletics","Women's Pole Vault","United States of America"
"Bronze ","2024-08-07","Alysha NEWMAN","Athletics","Women's Pole Vault","Canada"
"Bronze ","2024-08-07","Nelvie Raman TIAFACK","Boxing","Men's +92kg","Germany"
"Bronze ","2024-08-07","Djamili-Dini ABOUDOU MOINDZE","Boxing","Men's +92kg","France"
"Gold ","2024-08-07","Erislandy ALVAREZ BORGES","Boxing","Men's 63.5kg","Cuba"
"Silver ","2024-08-07","Sofiane OUMIHA","Boxing","Men's 63.5kg","France"
"Gold ","2024-08-07","Oleksandr KHYZHNIAK","Boxing","Men's 80kg","Ukraine"
"Silver ","2024-08-07","Nurbek ORALBAY","Boxing","Men's 80kg","Kazakhstan"
"Silver ","2024-08-07","Great Britain","Cycling Track","Men's Team Pursuit","Great Britain"
"Bronze ","2024-08-07","Italy","Cycling Track","Men's Team Pursuit","Italy"
"Gold ","2024-08-07","United States","Cycling Track","Women's Team Pursuit","United States of America"
"Silver ","2024-08-07","New Zealand","Cycling Track","Women's Team Pursuit","New Zealand"
"Bronze ","2024-08-07","Great Britain","Cycling Track","Women's Team Pursuit","Great Britain"
"Bronze ","2024-08-07","Stefano PESCHIERA","Sailing","Men's Dinghy","Peru"
"Gold ","2024-08-07","Marit BOUWMEESTER","Sailing","Women's Dinghy","Netherlands"
"Silver ","2024-08-07","Anne-Marie RINDOM","Sailing","Women's Dinghy","Denmark"
"Silver ","2024-08-07","Tom SCHAAR","Skateboarding","Men's Park","United States of America"
"Bronze ","2024-07-27","Wout van AERT","Cycling Road","Men's Individual Time Trial","Belgium"
"Bronze ","2024-08-07","Augusto AKIO","Skateboarding","Men's Park","Brazil"
"Gold ","2024-08-07","Aleksandra MIROSLAW","Sport Climbing","Women's Speed","Poland"
"Silver ","2024-08-07","DENG Lijuan","Sport Climbing","Women's Speed","People's Republic of China"
"Bronze ","2024-08-07","Aleksandra KALUCKA","Sport Climbing","Women's Speed","Poland"
"Gold ","2024-08-07","PARK Taejoon","Taekwondo","Men -58kg","Republic of Korea"
"Silver ","2024-08-07","Gashim MAGOMEDOV","Taekwondo","Men -58kg","Azerbaijan"
"Bronze ","2024-08-07","Mohamed Khalil JENDOUBI","Taekwondo","Men -58kg","Tunisia"
"Gold ","2024-08-07","Panipak WONGPATTANAKIT","Taekwondo","Women -49kg","Thailand"
"Silver ","2024-08-07","GUO Qing","Taekwondo","Women -49kg","People's Republic of China"
