"code","athlete_name","gender","country","nationality","birth_date"
"1966409","SHARP Alena","Female","Canada","Canada","1981-03-07"
"1966414","TAYLOR Nick","Male","Canada","Canada","1988-04-14"
"1966448","BROWN Kaiya","Female","Samoa","Samoa","2004-04-17"
"1966493","GAITOU Adele Sodalo Agnes","Female","Togo","France","2007-02-06"
"1966502","KAFADAR Josipa","Female","Canada","Canada","2001-02-02"
"1966505","PARK Skylar","Female","Canada","Canada","1999-06-06"
"1966530","MUXANGA Tiago","Male","Mozambique","Mozambique","2000-09-12"
"1966539","KECHTA Yassine","Male","Morocco","Morocco","2002-02-25"
"1966556","AL-ZINKEE Hasan Ali Khaleel","Male","Iraq","Iraq","2004-02-14"
"1966622","JONES Carlik","Male","South Sudan","South Sudan","1997-12-23"
"1966624","RICHARDSON Amir","Male","Morocco","Morocco","2002-01-24"
"1966625","JOK Peter","Male","South Sudan","South Sudan","1994-03-30"
"1966630","EL KHANNOUSS Bilal","Male","Morocco","Morocco","2004-05-10"
"1966639","EZZALZOULI Abde","Male","Morocco","Morocco","2001-12-17"
"1966642","EL AZZOUZI Oussama","Male","Morocco","Morocco","2001-05-29"
"1966652","BONHOMME Ariane","Female","Canada","Canada","1995-04-02"
"1966653","JACKSON Alison","Female","Canada","Canada","1988-12-14"
"1966655","BIBIC Dylan","Male","Canada","Canada","2003-08-03"
"1966661","MATTERN Carson","Male","Canada","Canada","2004-02-24"
"1966665","GEE Derek","Male","Canada","Canada","1997-08-03"
"1966666","ATTWELL Erin","Female","Canada","Canada","1999-03-12"
"1966671","MAJENDIE Fiona","Female","Canada","Canada","1997-11-05"
"1966673","HOLMGREN Gunnar","Male","Canada","Canada","1999-06-23"
"1966676","HOLMGREN Isabella","Female","Canada","Canada","2005-05-22"
"1966677","BOYLE Jackie","Female","Canada","Canada","1997-08-07"
"1966678","HEDGCOCK James","Male","Canada","Canada","2001-11-15"
"1966681","WHALEY Jeffrey","Male","Canada","Canada","1996-03-10"
"1966686","GENEST Lauriane","Female","Canada","Canada","1998-05-28"
"1966688","COLES-LYSTER Maggie","Female","Canada","Canada","1999-02-12"
"1966690","FOLEY Michael","Male","Canada","Canada","1999-01-12"
"1966691","GUILLEMETTE Mathias","Male","Canada","Canada","2002-01-14"
"1966693","SIMPSON Molly","Female","Canada","Canada","2002-12-11"
"1966695","WOODS Michael","Male","Canada","Canada","1986-10-12"
"1966697","WAMMES Nick","Male","Canada","Canada","1999-10-21"
"1966699","BARIL Olivia","Female","Canada","Canada","1997-10-10"
"1966702","DODYK Ryan","Male","Canada","Canada","1996-12-04"
"1966709","ORBAN Sarah","Female","Canada","Canada","1995-10-22"
"1966711","RICHARDSON Sean","Male","Canada","Canada","2001-01-29"
"1966712","van DAM Sarah","Female","Canada","Canada","2001-12-04"
"1966717","RORKE Tyler","Male","Canada","Canada","2003-05-28"
"1966719","MITCHELL Kelsey","Female","Canada","Canada","1993-11-26"
"1966721","NAKACH Akram","Male","Morocco","Morocco","2002-04-07"
"1966737","TIEBWA Nera","Female","Kiribati","Kiribati","2008-10-02"
"1966742","van DIJKE Sanne","Female","Netherlands","Netherlands","1995-07-21"
"1966746","van LIESHOUT Joanne","Female","Netherlands","Netherlands","2002-11-08"
"1966747","KAMPS Marit","Female","Netherlands","Netherlands","2001-03-04"
"1966748","BEURSKENS Julie","Female","Netherlands","Netherlands","2004-07-12"
"1966753","STEENHUIS Guusje","Female","Netherlands","Netherlands","1992-10-27"
"1966756","de WIT Frank","Male","Netherlands","Netherlands","1996-02-13"
"1966757","van T END Noel","Male","Netherlands","Netherlands","1991-06-15"
"1966764","TSJAKADOEA Tornike","Male","Netherlands","Netherlands","1996-10-05"
